name,male_count,female_count
HONORA,0,1540
ICY,0,1087
ISA,1706,2569
ISADORA,0,3208
JESSE,414411,11860
JEWEL,5148,39388
JOE,450393,11320
JOHANNAH,0,2877
JUANA,88,17324
JUDITH,1241,451828
JUDY,1094,381792
JUNIE,155,1269
LAVONIA,0,1901
LELLA,0,854
LEMMA,0,262
LETTY,0,3343
LINNA,0,817
LITTIE,0,623
LOLLIE,0,1014
LORENE,113,39186
LOUIS,393653,2820
LOVE,814,2542
LOVISA,0,32
LUCINA,0,1269
LYNN,52226,181744
MADORA,0,357
MAHALIA,0,1900
MANERVIA,0,40
MANUELA,35,10304
MARGARETT,0,4899
MARGARETTA,0,2534
MARGARITA,195,39227
MARILLA,0,682
MIGNON,0,2239
MOZELLA,0,1823
NATALIE,749,341766
NELIA,0,1446
NOLIE,7,271
OMIE,10,1145
OPAL,718,68776
OSSIE,1675,2916
OTTIE,609,1264
OTTILIA,0,524
PARTHENIA,0,1394
PENELOPE,14,52462
PINKEY,6,579
POLLIE,0,1265
RENNIE,989,879
RETA,0,8614
ROENA,0,984
ROSALEE,0,10273
ROSEANNA,0,5622
RUTHIE,32,20534
SABRA,0,4890
SANNIE,0,21
SELENA,57,48114
SIBYL,0,4328
TELLA,0,54
TEMPIE,0,1681
TENNESSEE,216,736
TERESSA,0,6463
TEXAS,363,218
THEDA,0,6534
THELMA,1142,225204
THURSA,0,150
ULA,31,1584
VANNIE,190,830
VERONA,0,4105
VERTIE,5,1543
WILMA,754,139710
EDWARD,1286423,5363
ALBERT,486845,2560
SAMUEL,739522,2796
DAVID,3601032,12884
CHARLIE,166203,21146
RICHARD,2560771,9533
ANDREW,1275585,4874
DANIEL,1895502,8145
ERNEST,300600,1855
WILL,44124,658
OSCAR,196786,1070
LEWIS,150218,870
PETER,573135,1938
BENJAMIN,721081,2384
FREDERICK,260290,1105
ALFRED,241376,1292
SAM,123279,1425
ROY,403788,2686
HERBERT,227683,1117
JACOB,906133,2227
TOM,139134,613
ELMER,128071,1753
CARL,502285,3192
HOWARD,344692,1677
MARTIN,305021,1476
MICHAEL,4338144,21676
BERT,33487,657
HERMAN,135423,795
JIM,152799,816
HARVEY,119397,697
EARL,288385,2248
EUGENE,378258,2626
RALPH,412227,1839
ED,26158,165
EDWIN,239212,1192
BEN,82381,462
CHARLEY,23161,7026
PAUL,1385110,5846
ISAAC,265444,715
OTTO,31332,100
LUTHER,65921,435
LAWRENCE,456195,2121
PATRICK,670135,2829
GUY,89445,470
OLIVER,139692,564
THEODORE,230570,894
HUGH,80981,354
ALEXANDER,648477,4402
AUGUST,41068,3561
FLOYD,153680,1377
HOMER,60640,367
JACK,676598,2637
LEONARD,290555,1412
HORACE,53969,202
PHILIP,338153,1137
ALLEN,266173,1847
ARCHIE,50084,1259
STEPHEN,855402,2932
CHESTER,120576,827
WILLIS,51820,822
RAYMOND,770610,3518
RUFUS,35818,151
WARREN,174854,897
MILTON,116626,615
ALEX,267313,8580
JULIUS,76267,410
BERNARD,198757,984
DAN,105717,545
JERRY,611667,17305
CALVIN,197456,1192
PERRY,74714,2803
DAVE,63768,114
ANTHONY,1423825,7055
AMOS,32785,64
DENNIS,616890,2661
LEROY,198593,1182
WESLEY,208785,2386
ALONZO,40556,154
GARFIELD,5547,0
FRANKLIN,134707,708
EMIL,31666,134
LEON,163487,1423
NATHAN,535089,1730
HAROLD,549278,2649
MATTHEW,1578713,5496
LEVI,131178,806
MOSES,37912,45
EVERETT,99487,575
LESTER,129709,1359
WINFIELD,5146,0
ADAM,544822,2024
LLOYD,160043,999
MACK,37762,180
FREDRICK,63430,259
JAY,187920,2483
JESS,24853,429
MELVIN,242055,2139
NOAH,356705,1770
AARON,568057,4269
ALVIN,158047,1098
NORMAN,251623,1603
GILBERT,128637,674
ELIJAH,267876,1069
VICTOR,313025,1808
GUS,18512,5
NELSON,76469,406
JASPER,37985,711
SILAS,40471,57
JAKE,120169,212
CHRISTOPHER,2013855,9463
MIKE,204156,662
PERCY,31328,581
ADOLPH,18711,20
MAURICE,133722,2611
CORNELIUS,35563,642
FELIX,66942,569
REUBEN,29649,45
WALLACE,81135,542
CLAUD,10893,47
ROSCOE,21502,5
SYLVESTER,42620,623
EARNEST,58142,726
HIRAM,13533,0
OTIS,57574,887
SIMON,57291,155
WILLARD,77241,883
IRVIN,39074,74
MARK,1347928,4490
JOSE,555818,4159
WILBUR,56614,290
ABRAHAM,86304,203
VIRGIL,71104,1444
CLINTON,96456,433
ELBERT,33423,97
MARSHALL,89470,1126
OWEN,168582,420
WILEY,16919,193
ANTON,22516,21
MORRIS,70129,484
MANUEL,181868,1153
PHILLIP,306583,1332
AUGUSTUS,15565,10
EMMETT,48936,129
ELI,108526,709
NICHOLAS,890017,3111
WILSON,45142,188
HARLEY,38204,21365
NEWTON,7934,5
TIMOTHY,1066131,4326
MARVIN,250043,1610
ROSS,80579,404
CURTIS,257512,2322
EDMUND,50559,60
JEFF,119825,258
ELIAS,70549,170
HARRISON,70303,232
STANLEY,298467,1438
COLUMBUS,7492,0
LON,9807,20
RUSSELL,352093,1695
SOLOMON,31093,11
ARCH,2422,0
ASA,15698,1171
CLAYTON,128145,579
ENOCH,10168,0
IRVING,43398,85
MATHEW,74466,207
NATHANIEL,260777,1148
SCOTT,770515,2611
HUBERT,57282,189
LEMUEL,9325,0
ANDY,87568,1008
ELLIS,40198,3607
EMANUEL,48699,93
JOSHUA,1194052,4903
MILLARD,16699,33
VERNON,145333,1976
WADE,67832,163
CYRUS,20247,5
MILES,74379,203
RUDOLPH,53146,197
SHERMAN,38913,203
AUSTIN,402570,4413
BILL,160234,716
CHAS,3200,10
MONROE,15824,2343
BYRON,79472,298
EDD,5437,13
EMERY,17470,16672
GRANT,120197,202
JEROME,159400,1061
MAX,144946,651
MOSE,7702,55
STEVE,240031,906
GORDON,152721,670
ABE,9079,0
PETE,43048,170
CHRIS,143643,22899
CLARK,43724,171
GUSTAVE,5330,0
ORVILLE,34935,155
LORENZO,61778,307
BRUCE,381547,1399
MARCUS,226961,1332
PRESTON,109177,642
BOB,92890,322
DOCK,5372,0
DONALD,1410373,5565
JACKSON,218471,581
BARNEY,16060,91
DELBERT,46756,122
EDMOND,24271,7
ANDERSON,24600,722
CHRISTIAN,407809,19373
JEFFERSON,21326,0
LUKE,252334,504
NEAL,54107,257
BURT,6549,0
IKE,6829,0
MYRON,44434,463
TONY,247966,2879
CONRAD,34193,16
JOEL,262601,2543
MATT,23520,5
RILEY,91316,94493
VINCENT,333948,1383
EMORY,16410,4300
ISAIAH,200322,601
NICK,49233,132
EZRA,40914,1842
GREEN,2033,0
JUAN,341829,2733
CLIFTON,69361,436
LUCIUS,8776,0
PORTER,15027,426
ARNOLD,102850,550
BUD,9412,0
JEREMIAH,184563,644
TAYLOR,109283,315215
FORREST,47522,954
ROLAND,96574,362
SPENCER,114763,3530
BURTON,22258,48
DON,166727,1207
EMMET,5630,0
GUSTAV,3957,0
MORGAN,41613,210534
NED,17195,5
VAN,27147,1663
AMBROSE,8352,0
CHAUNCEY,9339,508
ELISHA,13043,13459
FERDINAND,8702,0
GENERAL,3952,0
JULIAN,194828,3061
KENNETH,1270853,5335
MITCHELL,161155,1117
JOSH,16366,0
JUDSON,11579,0
LYMAN,8487,0
NAPOLEON,7663,5
PEDRO,87190,499
BERRY,5666,347
DEWITT,7164,0
ERVIN,38008,138
